date,difficulty,guesses,hints
Wed Feb 08 01:29:28 EST 2012,easy,6,4,
Wed Feb 08 07:59:35 EST 2012,easy,0,0,
Wed Feb 08 07:59:59 EST 2012,easy,1,4,
Wed Feb 08 08:00:17 EST 2012,easy,1,4,
Wed Feb 08 08:00:29 EST 2012,easy,1,4,
